Domain,Area,Element,Item,Year,Value
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1978,17
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1979,20
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1980,15
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1981,14
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1982,9
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1983,9
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1984,9
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1985,16
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1986,20
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1987,17
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1988,19
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1989,22
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1990,21
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1991,19
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1992,25
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1993,24
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1994,23
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1995,31
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1996,33
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1997,38
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1998,52
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,1999,50
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2000,60
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2001,67
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2002,74
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2003,78
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2004,83
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2005,85
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2006,90
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2007,94
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2008,87
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2009,81
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2010,81
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2011,82
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2012,79
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Mutton & Goat Meat,2013,85
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1961,-3
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1962,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1963,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1964,2
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1965,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1966,-2
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1967,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1968,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1969,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1970,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1971,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1972,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1973,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1974,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1975,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1976,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1977,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1978,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1979,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1980,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1981,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1982,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1983,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1984,2
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1985,-3
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1986,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1987,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1988,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1989,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1990,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1991,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1992,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1993,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1994,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1995,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1996,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1997,-5
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1998,2
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,1999,3
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2000,-5
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2001,2
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2002,5
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2003,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2004,1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2005,-3
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2006,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2007,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2008,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2009,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2010,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2011,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2012,0
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Mutton & Goat Meat,2013,0
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1961,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1962,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1963,0
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1964,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1965,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1966,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1967,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1968,2
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1969,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1970,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1971,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1972,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1973,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1974,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1975,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1976,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1977,2
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1978,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1979,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1980,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1981,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1982,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1983,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1984,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1985,0
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1986,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1987,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1988,1
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1989,4
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1990,4
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1991,5
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1992,4
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1993,4
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1994,4
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1995,3
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1996,3
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1997,3
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1998,3
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,1999,3
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2000,3
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2001,4
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2002,3
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2003,3
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2004,7
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2005,14
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2006,8
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2007,4
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2008,6
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2009,8
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2010,9
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2011,10
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2012,6
"Food Balances (-2013, old methodology and population)",United States of America,Export Quantity,Mutton & Goat Meat,2013,4
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1961,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1962,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1963,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1964,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1965,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1966,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1967,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1968,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1969,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1970,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1971,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1972,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1973,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1974,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1975,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1976,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1977,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1978,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1979,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1980,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1981,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1982,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1983,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1984,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1985,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1986,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1987,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1988,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1989,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1990,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1991,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1992,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1993,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1994,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1995,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1996,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1997,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1998,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,1999,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2000,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2001,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2002,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2003,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2004,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2005,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2006,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2007,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2008,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2009,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2010,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2011,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2012,
"Food Balances (-2013, old methodology and population)",United States of America,Losses,Mutton & Goat Meat,2013,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1961,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1962,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1963,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1964,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1965,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1966,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1967,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1968,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1969,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1970,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1971,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1972,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1973,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1974,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1975,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1976,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1977,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1978,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1979,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1980,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1981,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1982,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1983,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1984,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1985,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1986,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1987,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1988,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1989,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1990,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1991,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1992,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1993,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1994,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1995,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1996,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1997,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1998,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,1999,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2000,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2001,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2002,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2003,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2004,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2005,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2006,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2007,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2008,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2009,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2010,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2011,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2012,
"Food Balances (-2013, old methodology and population)",United States of America,Processing,Mutton & Goat Meat,2013,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1961,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1962,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1963,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1964,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1965,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1966,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1967,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1968,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1969,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1970,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1971,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1972,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1973,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1974,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1975,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1976,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1977,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1978,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1979,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1980,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1981,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1982,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1983,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1984,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1985,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1986,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1987,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1988,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1989,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1990,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1991,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1992,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1993,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1994,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1995,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1996,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1997,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1998,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,1999,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2000,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2001,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2002,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2003,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2004,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2005,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2006,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2007,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2008,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2009,
"Food Balances (-2013, old methodology and population)",United States of America,Other uses (non-food),Mutton & Goat Meat,2010,
